global_step,epoch,step_in_epoch,lr,loss,acc1,acc5,,,,
434,2,217,0.00003941,4.929688,0,0.1,,,,
435,2,218,0.00003941,4.763476,0,0,,,,
436,3,1,0.0000394,4.72666,0.05,0.05,,,,
437,3,2,0.0000394,4.663379,0.05,0.1,,,,
438,3,3,0.0000394,4.987597,0,0,,,,
439,3,4,0.0000394,4.62832,0.05,0.05,,,,
440,3,5,0.0000394,4.894922,0,0.1,,,,
441,3,6,0.0000394,4.740527,0,0,,,,
442,3,7,0.0000394,4.901465,0,0,,,,
443,3,8,0.00003939,4.771289,0,0.1,,,,
444,3,9,0.00003939,4.803515,0,0.05,,,,
445,3,10,0.00003939,4.767188,0,0,,,,
446,3,11,0.00003939,4.774121,0,0.05,,,,
447,3,12,0.00003939,4.620996,0.05,0.15,,,,
448,3,13,0.00003939,5.119727,0.05,0.1,,,,
449,3,14,0.00003938,4.41543,0,0.1,,,,
450,3,15,0.00003938,4.791797,0.05,0.05,,,,
451,3,16,0.00003938,4.785645,0,0,,,,
452,3,17,0.00003938,4.895606,0,0,,,,
453,3,18,0.00003938,4.716211,0,0,,,,
454,3,19,0.00003938,4.650586,0,0.1,,,,
455,3,20,0.00003938,4.640527,0,0.05,,,,
456,3,21,0.00003937,4.923047,0,0.05,,,,
457,3,22,0.00003937,4.820605,0,0.1,,,,
458,3,23,0.00003937,4.620801,0,0.1,,,,
459,3,24,0.00003937,4.80498,0,0,,,,
460,3,25,0.00003937,4.832227,0,0,,,,
461,3,26,0.00003937,4.872851,0,0,,,,
462,3,27,0.00003936,4.631348,0,0.05,,,,
463,3,28,0.00003936,4.902051,0,0.05,,,,
464,3,29,0.00003936,4.864356,0,0.05,,,,
465,3,30,0.00003936,4.762891,0.05,0.05,,,,
466,3,31,0.00003936,4.732129,0,0.1,,,,
467,3,32,0.00003936,5.11416,0,0.05,,,,
468,3,33,0.00003935,4.829688,0,0,,,,
469,3,34,0.00003935,4.803125,0,0,,,,
470,3,35,0.00003935,4.996875,0,0,,,,
471,3,36,0.00003935,4.952539,0.05,0.05,,,,
472,3,37,0.00003935,4.789746,0,0,,,,
473,3,38,0.00003935,4.730176,0.05,0.05,,,,
474,3,39,0.00003934,5.090723,0,0,,,,
475,3,40,0.00003934,4.607812,0.05,0.05,,,,
476,3,41,0.00003934,4.839453,0,0,,,,
477,3,42,0.00003934,4.824805,0,0.1,,,,
478,3,43,0.00003934,4.862891,0,0,,,,
479,3,44,0.00003934,4.646582,0,0.05,,,,
480,3,45,0.00003933,4.951758,0,0.05,,,,
481,3,46,0.00003933,4.540235,0.05,0.15,,,,
482,3,47,0.00003933,5.145312,0,0,,,,
483,3,48,0.00003933,4.970899,0,0,,,,
484,3,49,0.00003933,4.896484,0,0.05,,,,
485,3,50,0.00003933,4.836816,0.05,0.15,,,,
486,3,51,0.00003933,4.610742,0,0.05,,,,
487,3,52,0.00003932,4.717773,0,0,,,,
488,3,53,0.00003932,4.890527,0,0,,,,
489,3,54,0.00003932,4.830957,0,0.1,,,,
490,3,55,0.00003932,4.552246,0,0.05,,,,
491,3,56,0.00003932,4.877149,0,0.05,,,,
492,3,57,0.00003932,4.858984,0,0.05,,,,
493,3,58,0.00003931,4.720508,0,0.05,,,,
494,3,59,0.00003931,4.574023,0.05,0.1,,,,
495,3,60,0.00003931,4.595313,0,0.1,,,,
496,3,61,0.00003931,4.778906,0,0.05,,,,
497,3,62,0.00003931,4.9,0.05,0.05,,,,
498,3,63,0.00003931,5.200976,0,0,,,,
499,3,64,0.0000393,4.495313,0,0.1,,,,
500,3,65,0.0000393,5.000391,0,0,,,,
501,3,66,0.0000393,4.641016,0,0,,,,
502,3,67,0.0000393,4.710449,0.05,0.1,,,,
503,3,68,0.0000393,4.81084,0,0,,,,
504,3,69,0.0000393,4.804101,0.05,0.05,,,,
